Unique_id,Verbatim
1,RT @footballzeal: #championship 2014/15 Burnley v Sheffield Wednesday Capital One Cup http://t.co/I5YCwRYVNm
2,Lead Android Engineer Enterprise Mobile (San Francisco) - Stars and Stripes http://t.co/Uz0LgYJ6oR #sanfrancisco
3,#championship 2014/15 Burnley v Sheffield Wednesday Capital One Cup http://t.co/I5YCwRYVNm
4,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/bJSEVkK1sp
5,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http://t.co/WzQqiYeOjJ
6,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/rquBZfQqgd
7,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/rM8C4NkbZx
8,Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/pZ52iPTkva
9,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/RmEmi8eGPC
10,"Feeling so loved today on my birthday,thank you so much to Capital One and Team Ervyn!… https://t.co/jvvcK8658I"
11,Chelsea v Tottenham Hotspur: Capital One Cup final â€â€œ live! - The Guardian http://t.co/GLnb5P3lZJ
12,RT @SocialBizIntel: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/BWaPLpBQDB
13,RT @FollowsTrends: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http:/…
14,Capital One cup round 3. Fulham upset Manchester City in Extra Time
15,Sheffield United v Tottenham Hotspur: Capital One Cup â€â€œ live! - The Guardian http://t.co/4oYnN5nFEx
16,has seen his MK Dons team beaten in the Capital One Cup Fourth Round. #FM15
17,Capital One Cup Leeds travel to Doncaster Rovers http://t.co/OYk8d3w0jf
18,I just checked in at Capital One with #mPLACES  Download today!  http://t.co/EEXyHErvoU
19,has seen his Man City team beaten in the Capital One Cup Third Round. #FMC15
20,Lead Android Engineer Enterprise Mobile (San Francisco) - Stars and Stripes http://t.co/FakvZk1CJL #sanfrancisco
21,Paul Okoye Celebrates Chelsea’s Capital One Victory With Adorable Pictures - http://t.co/KgiHAVeO4V #Street77News http://t.co/biwDOVZHr7
22,@AskCapitalOne do I have to call you guys and tell you if I'm travelling with my card? (Capital One 360)
23,RT @street77news: ViDEO: Chelsea Fc Win Capital one Cup 2014/2015 After Beating Tottenham ... - http://t.co/mvcTbXRa5q #Street77News http:/…
24,ViDEO: Chelsea Fc Win Capital one Cup 2014/2015 After Beating Tottenham ... - http://t.co/mvcTbXRa5q #Street77News http://t.co/2js99PnMv0
25,News - WILLIAMSON NAMED TO CAPITAL ONE ACADEMIC ALL-AMERICA TEAM http://t.co/yAU81nqpXp
26,RT @shaneleblancm: Uber and Capital One partner on cheaper rides » http://t.co/fof3027sg4 http://t.co/L7BezjdwDp
27,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/Yl8XqlsfWt
28,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/PFWaHGFDJN
29,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/9072iDZVM5
30,Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/elncmD6mmO
31,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/BWaPLpBQDB
32,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http://t.co/NOYVEkduIF
33,RT @joersmorris: 3 Dimensions Of #DigitalTransformation At Capital One Financial Services http://t.co/XagPfEqaWn
34,RT @SocialBizIntel: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/jG3Sczx3fS
35,RT @FollowsTrends: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http:/…
36,#ferkolpanos.gq prestamos personales capital one http://t.co/hIyjnWmAcF #espana
37,#ferkolpanos.gq prestamos personales capital one http://t.co/Oo30fnInpQ #espana
38,#ferkolpanos.gq prestamos personales capital one http://t.co/1qt3pcxK9i #espana
39,#ferkolpanos.gq prestamos personales capital one http://t.co/OpUbwLFmgk #espana
40,#ferkolpanos.gq prestamos personales capital one http://t.co/N9ymdDF7tu #espana
41,#ferkolpanos.gq prestamos personales capital one http://t.co/dyGa3UAe7U #espana
42,3 Dimensions Of #DigitalTransformation At Capital One Financial Services http://t.co/XagPfEqaWn
43,@GoziemO @Ade_Peters @JackWilshere rosicky is there to make numbers and waste injury time in capital one cup.
44,Well at least now I know which credit card is hooked up to my Amazon account thanks to capital one wallet alerts ??
45,RT @EatWeb: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/znZCjwU7Lf
46,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/znZCjwU7Lf
47,Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/Ady0XOZabw
48,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/287YH1mbsZ
49,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/oX9er5u9zW
50,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/jG3Sczx3fS
51,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http://t.co/rL48tyZuwa
52,has seen his Newcastle team beaten in the Capital One Cup Final. #FM15
53,"Capital One's Back-to-School supply drive nets $70,000 worth of materials, helping kids learn! http://t.co/ksGHaNPZHk http://t.co/7RtsCcF34f"
54,has seen his Southampton team beaten in the Capital One Cup Quarter Final. #FM15
55,RT @CapitalOneUK: It's your last chance to win a £100 voucher! Tell us how you save money on your bills. Ts&amp;Cs http://t.co/YXQ9GFmNhk http:…
56,"Capital One wants a Part Time Teller (30 Hours) North 10th Branch (Bilingual Spanish) in McAllen, TX: http://t.co/GItO4NM7tW"
57,once i get my capital one card paid off its going in the trash
58,has seen his Man City team beaten in the Capital One Cup Fourth Round. #FM15
59,has seen his Derby team beaten in the Capital One Cup Fourth Round. #FMC15
60,"RT @CapgeminiConsul: Beginning in 2011, Capital One started to move 70% of outsourced IT development work in-house http://t.co/OnsNKbNmjB"
61,has seen his Liverpool team beaten in the Capital One Cup Quarter Final. #FM15
62,"Programme Cover: ""OTBC"" vs Crawley Town - Capital One League Cup Second Round - 26 August 2014 http://t.co/fU1SSlKYjc"
63,"Want to work at Aerotek? We're #hiring in #Provo, UT! Click for details: http://t.co/A52wYozMH3 #Job #Jobs http://t.co/9v6NjFqqFW"
64,has delighted the board of Cambridge United by winning the Capital One Cup. #FMH15
65,Five million meals were donated to the hungry thanks to Capital One's WishForOthers campaign! http://t.co/cwU711yqim http://t.co/Df6UCOBF7U
66,has delighted the board of Mansfield Town by winning the Capital One Cup. #FMH15
67,Capital one is hands down the best credit card company out there
68,@PlayStation My Capital One card is not working in the PS4 Store. It's not my card that's the problem. Please help???
69,CapitalOne help rebuild impoverished Texas town through housing and education! Way 2 be hands on! http://t.co/kDYeU6jGMx
70,RT @SocialBizIntel: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/yiTpu395U2
71,Apa harapan anda terhadap pemain yang di bawa masuk untuk season 2015/16 ini
72,1.Juara Liga/FA Cup/ Capital one... http://t.co/wvEvgWXv6X
73,Apa harapan anda terhadap pemain yang di bawa masuk untuk season 2015/16 ini
74,1.Juara Liga/FA Cup/ Capital one... http://t.co/5j7zidLOXO
75,"We're #hiring! Click to apply: Customer Service- Capital One - http://t.co/CzVG5gnKAj #CustomerService #Provo, UT #Job #Jobs"
76,@fckinboy pasti suka sm chelsea gr2 menang capital one sm bpl/?
77,has seen his Morecambe team beaten in the Capital One Cup Second Round. #FM15
78,"RT @justincannonier: @Eren_kaya_ @LukeJackson_16 @Andypandyavfc oh. fa cup 2 seasons straight, you actually think capital one cup is worth …"
79,"@Eren_kaya_ @LukeJackson_16 @Andypandyavfc oh. fa cup 2 seasons straight, you actually think capital one cup is worth popping champagne over"
80,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/oipMCMpEX2
81,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/xprwzRPhpE
82,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http://t.co/Dls0GdBQDk
83,Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/NlrmKJ2aw0
84,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/1R2uWl2g01
85,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/elZAGjCcSG
86,I just checked in at Capital One with #mPLACES  Download today!  http://t.co/sbgbQ1VqMh
87,@AskCapitalOne account and all of my capital one 360 accounts?
88,"Florida women place second in 2015 Capital One Cup, men fourth http://t.co/v6hfMrUK2r http://t.co/mmkWYAgtVw"
89,News - Justin Whitaker Named CoSIDA/Capital One Academic All-American http://t.co/KQXHlffYZb
90,News - Justin Whitaker Named CoSIDA/Capital One Academic All-American http://t.co/wamn2zJWIS
91,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
92,You hav... http://t.co/zKmFTarjFp #credit #mony
93,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
94,You hav... http://t.co/yvKoa07NPp #credit #mony
95,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
96,You hav... http://t.co/6HZbvXKo4e #credit #mony
97,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
98,You hav... http://t.co/CQnCq1TRCE #credit #mony
99,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
100,You hav... http://t.co/Qz7POsQy3r #credit #mony
101,tak?m? Liverpool'un Capital One Kupas? 3. Tur mücâdelesinden ma?lup ayr?ld???n? gördü. #FM15
